Mersenne;p 4k+?;is prime?;digits;Xp=(p-1)/2;Xp factors;Xm=M-1/(6p);Xm Factors;How many factors?;M Factors;Factor's K;K's sum; K's product
'2^5-1;'4k+1;'yes;'2;'2;'2{4k+3};'1;';'0;'31;';'0;'1
'2^13-1;'4k+1;'yes;'4;'6;'2{4k+3}*3{4k+3};'105;'3*5*7;'0;'8191;';'0;'1
'2^17-1;'4k+1;'yes;'6;'8;'2^3{4k+3};'1285;'5*257;'0;'131071;';'0;'1
'2^61-1;'4k+1;'yes;'19;'30;'2{4k+3}*3{4k+3}*5{4k+1};'6300117511512825;'3*5^2*7*11*13*31*41*151*331*1321;'0;'2305843009213693951;';'0;'1
'2^89-1;'4k+1;'yes;'27;'44;'2^2{4k+3}*11{4k+3};'1159119886971329845411165;'5*17*23*353*397*683*2113*2931542417;'0;'618970019642690137449562111;';'0;'1
'2^257-1;'4k+1;'no;'78;'128;'2^7{4k+3};'150184292136596881223827477313473291638482470383450796419529940347487846485;'5*17*641*65537*274177*6700417*67280421310721*59649589127497217*5704689200685129054721;'3;'535006138814359*1155685395246619182673033*374550598501810936581776630096313181393;' 1040867974347,2248415165849453662788,728697662454885090626024572171815528;'728697662454887339041191462493452663;'1705373572687662952982770339525691349438864119494378793144953676042208
'2^137-1;'4k+1;'no;'42;'68;'2^2{4k+3}*17{4k+1};'211952033897226877485702918497646379885;'5*17^2*953*26317*43691*131071*354689*2879347902817;'2;'32032215596496435569*5439042183600204290159;' 116905896337578232,19850518918248920767;'19967424814586498999;'2320642706903943914004165440431943944
'2^181-1;'4k+1;'no;'55;'90;'2{4k+3}*3^2{4k+1}*5{4k+1};'2822275397543073403974856403591729619924013116360225;'3^2*5^2*7*11*13*19*31*37*41*61*73*109*151*331*631*1321*23311*54001*18837001*29247661;'4;'43441*1164193*7648337*7923871097285295625344647665764672671;' 120,3216,21128,21889146677583689572775269794930035;'21889146677583689572775269794954499;'178477924016259123555864529815712584336921600
'2^281-1;'4k+1;'no;'85;'140;'2^2{4k+3}*5{4k+1}*7{4k+3};'2304470809283189882466740102993498109896093522007282943359208077982092865012109725;'5^2*11*17*29*31*41*43*71*113*127*61681*86171*122921*7416361*15790321*47392381*84179842077657862011867889681;'2;'80929*48009215293052652841860443273079338843737271906291675944391068955229998769420319;' 144,85425649987638172316477657069536190113411515847494085310304393158772239803239;'85425649987638172316477657069536190113411515847494085310304393158772239803383;'12301293598219896813572782618013211376331258282039148284683832614863202531666416
'2^113-1;'4k+1;'no;'35;'56;'2^3{4k+3}*7{4k+3};'15316509907182382385045711885605;'5*17*29*43*127*257*5153*15790321*54410972897;'5;'3391*23279*65993*1868569*1066818132868207;' 15,103,292,8268,4720434216231;'4720434224909;'17607340092022828215120
'2^41-1;'4k+1;'no;'13;'20;'2^2{4k+3}*5{4k+1};'8939118925;'5^2*11*17*31*61681;'2;'13367*164511353;' 163,2006236;'2006399;'327016468
'2^197-1;'4k+1;'no;'60;'98;'2{4k+3}*7^2{4k+1};'169938456457169022371188884553845452889403869900887567185;'5*29*43*113*127*19707683773*4363953127297*4432676798593*4981857697937;'2;'7487*26828803997912886929710867041891989490486893845712448833;' 19,68093411162215449060179865588558348960626634126173728;'68093411162215449060179865588558348960626634126173747;'1293774812082093532143417446182608630251906048397300832
'2^277-1;'4k+1;'no;'84;'138;'2{4k+3}*3{4k+3}*23{4k+3};'146109272880996470436180949670842276372022175018963562067675421911770779573195585;'3*5*7*13*47*139*1013*1657*30269*178481*2796203*168749965921*5415624023749*10052678938039*70334392823809;'3;'1121297*31133636305610209482201109050392404721*6955979459776540052280934851589652278783;' 2024,56197899468610486429965900812982680,12555919602484729336247174822363993283;'12612117501953339822677140723176977987;'1428167406494138543011977800890050230772267821032001678874899058903845002560
'2^173-1;'4k+1;'no;'53;'86;'2{4k+3}*43{4k+3};'11534317353578763685861836367641416663797109240905;'5*431*9719*101653*500177*2099863*1759217765581*2932031007403;'4;'730753*1505447*70084436712553223*155285743288572277679887;' 2112,4351,202556175469807,448802726267549935491;'448802928823725411761;'835379804534026234330743834525789842506944
'2^269-1;'4k+1;'no;'81;'134;'2{4k+3}*67{4k+3};'587713008074407851864865866909028092400240219566869579065202309908813109052265;'5*7327657*15152453*42875177*193707721*2559066073*761838257287*6713103182899*9739278030221;'2;'13822297*68625988504811774259364670661552948915363901845035416371912463477873783063;' 25692,127557599451323000482090465913667191292497958819768431918052906092702199;'127557599451323000482090465913667191292497958819768431918052906092727891;'3277209845103390528385868250253937478686857557997490552838615263333704896708
'2^157-1;'4k+1;'no;'48;'78;'2{4k+3}*3{4k+3}*13{4k+1};'193935992214822574071614229394411228722920985;'3*5*7*13^2*53*79*313*1249*1613*2731*3121*8191*21841*121369*22366891;'4;'852133201*60726444167*1654058017289*2134387368610417;' 2713800,193396319,5267700692,6797412001944;'6802875812755;'18792766878559963866430770908383545600
'2^149-1;'4k+1;'no;'45;'74;'2{4k+3}*37{4k+1};'798236964600648703052732645105981619900865;'5*223*593*1777*25781083*184481113*231769777*616318177;'2;'86656268566282183151*8235109336690846723986161;' 290792847537859675,27634595089566599744920;'27634885882414137604595;'8035942596650825869565647816897754101000
'2^73-1;'4k+1;'no;'22;'36;'2^2{4k+3}*3^2{4k+1};'21563317273377375405;'3^2*5*7*13*17*19*37*109*241*433*38737;'3;'439*2298041*9361973132609;' 3,15740,64123103648;'64123119391;'3027892954258560
'2^233-1;'4k+1;'no;'71;'116;'2^2{4k+3}*29{4k+1};'9873742985394225733096932564058691634407881219127877761319777144205;'5*17*59*1103*2089*59393*3033169*107367629*536903681*82280195167144119832390568177;'4;'1399*135607*622577*116868129879077600270344856324766260085066532853492178431;' 3,291,1336,250789978281282404013615571512373948680400285093330855;'250789978281282404013615571512373948680400285093332485;'292503373788851543708392222290884082816513903712334389450440
'2^37-1;'4k+1;'no;'12;'18;'2{4k+3}*3^2{4k+1};'619094385;'3^2*5*7*13*19*73*109;'2;'223*616318177;' 3,8328624;'8328627;'24985872
'2^229-1;'4k+1;'no;'69;'114;'2{4k+3}*3{4k+3}*19{4k+3};'627888131986041101476961050061592562995916027308077379472573164465;'3*5*7*13*457*571*32377*131101*160969*174763*524287*525313*1212847*160465489*275415303169;'4;'1504073*20492753*59833457464970183*467795120187583723534280000348743236593;' 3284,44744,130640736823079,1021386725300401143087947599014723224;'1021386725300401143088078239751594331;'19606802992158367003549108316459683769634790776177807606016
'2^109-1;'4k+1;'no;'33;'54;'2{4k+3}*3^3{4k+3};'992411479077757574260415965065;'3^3*5*7*13*19*37*73*87211*246241*262657*279073;'2;'745988807*870035986098720987332873;' 3421967,3990990761920738474004;'3990990761920741895971;'13657038684597623673672045868
'2^193-1;'4k+1;'no;'59;'96;'2^5{4k+3}*3{4k+3};'10841281062844008227695663943363845278242410094065690005;'3*5*7*13*17*97*241*257*641*673*65537*6700417*22253377*18446744069414584321;'3;'13821503*61654440233248340616559*14732265321145317331353282383;' 35807,159726529101679638903,38166490469288386868790887;'38166650195817488548465597;'218286671020687932102225591906987369578111994742527
'2^101-1;'4k+1;'no;'31;'50;'2{4k+3}*5^2{4k+1};'4183665347287885813520472625;'5^3*11*31*41*251*601*1801*4051*8101*268501;'2;'7432339208719*341117531003194129;' 36793758459,1688700648530664;'1688737442289123;'62133643771593904470886776
'2^29-1;'4k+1;'no;'9;'14;'2{4k+3}*7{4k+3};'3085465;'5*43*113*127;'3;'233*1103*2089;' 4,19,36;'59;'2736
'2^241-1;'4k+1;'no;'73;'120;'2^3{4k+3}*3{4k+3}*5{4k+1};'2443771873829023968994878977514410118710212858749127189656440112437925;'3*5^2*7*11*13*17*31*41*61*97*151*257*331*673*1321*61681*394783681*4278255361*4562284561*46908728641;'2;'22000409*160619474372352289412737508720216839225805656328990879953332340439;' 45644,333235424009029646084517652946507965198766921844379418990316059;'333235424009029646084517652946507965198766921844379418990361703;'15210197693468149165881723751090409563532517380664854200393986196996
'2^97-1;'4k+1;'no;'30;'48;'2^4{4k+3}*3{4k+3};'272261726853142053586061685;'3*5*7*13*17*193*241*257*673*65537*22253377;'2;'11447*13842607235828485645766393;' 59,71353645545507657967868;'71353645545507657967927;'4209865087184951820104212
'2^53-1;'4k+1;'no;'16;'26;'2{4k+3}*13{4k+1};'28324525958305;'5*157*1613*2731*8191;'3;'6361*69431*20394401;' 60,655,192400;'193115;'7561320000
'2^3-1;'4k+3;'yes;'1;'1;';'0;';'0;'7;';'0;'1
'2^7-1;'4k+3;'yes;'3;'3;'3{4k+3};'3;'3;'0;'127;';'0;'1
'2^19-1;'4k+3;'yes;'6;'9;'3^2{4k+1};'4599;'3^2*7*73;'0;'524287;';'0;'1
'2^31-1;'4k+3;'yes;'10;'15;'3{4k+3}*5{4k+1};'11545611;'3*7*11*151*331;'0;'2147483647;';'0;'1
'2^107-1;'4k+3;'yes;'33;'53;'53{4k+1};'252740306587559756061647991103;'6361*69431*20394401*28059810762433;'0;'162259276829213363391578010288127;';'0;'1
'2^127-1;'4k+3;'yes;'39;'63;'3^2{4k+1}*7{4k+3};'223282392992741773926098823774126123;'3^2*7^2*19*43*73*337*5419*92737*649657*77158673929;'0;'170141183460469231731687303715884105727;';'0;'1
'2^251-1;'4k+3;'no;'76;'125;'5^3{4k+1};'2402724295263035263603315591979745763887574383002169738534561421146935791;'11*31*601*1801*4051*229668251*269089806001*4710883168879506001*5519485418336288303251;'5;'503*54217*178230287214063289511*61676882198695257501367*12070396178249893039969681;' 1,108,355040412777018505,122862315136843142433,24044613900896201274840;'24167831256445821435887;'113276037254206786314062573774401888665897475708969374002848800
'2^191-1;'4k+3;'no;'58;'95;'5{4k+1}*19{4k+3};'2738700582629441869038302540666521123953907261982563051;'11*31*2281*174763*524287*420778751*30327152671*3011347479614249131;'5;'383*7068569257*39940132241*332584516519201*87274497124602996457;' 1,18504108,104555320,870640095600,228467269959693708;'228468140722848737;'384837111376060309885958844274439603090688000
'2^83-1;'4k+3;'no;'25;'41;'41{4k+1};'19420495094210910437047;'13367*164511353*8831418697;'2;'167*57912614113275649087721;' 1,348871169357082223420;'348871169357082223421;'348871169357082223420
'2^23-1;'4k+3;'no;'7;'11;'11{4k+3};'60787;'89*683;'2;'47*178481;' 1,3880;'3881;'3880
'2^131-1;'4k+3;'no;'40;'65;'5{4k+1}*13{4k+1};'3463433760009551790975822976404765511;'11*31*2731*8191*409891*7623851*145295143558111;'2;'263*10350794431055162386718619237468234569;' 1,39506848973492986208849691746061964;'39506848973492986208849691746061965;'39506848973492986208849691746061964
'2^11-1;'4k+3;'no;'4;'5;'5{4k+1};'31;'31;'2;'23*89;' 1,4;'5;'4
'2^239-1;'4k+3;'no;'72;'119;'7{4k+3}*17{4k+1};'616055461917149347832391039310641044570252404768346917057742748009979;'43*127*20231*43691*131071*823679683*62983048367*131105292137*143162553165560959297;'6;'479*1913*5737*176383*134000609*7110008717824458123105014279253754096863768062879;' 1,4,12,369,280336,14874495225574180173859862508899067148250560801;'14874495225574180173859862508899067148250841523;'73856498213873850466458088109412238065530718695504216832
'2^179-1;'4k+3;'no;'54;'89;'89{4k+1};'713452300216894254356772359008523828500344097850839;'62020897*18584774046020617*618970019642690137449562111;'3;'359*1433*1489459109360039866456940197095433721664951999121;' 1,4,4160500305474971694013799433227468496270815640;'4160500305474971694013799433227468496270815645;'16642001221899886776055197732909873985083262560
'2^103-1;'4k+3;'no;'32;'51;'3{4k+3}*17{4k+1};'16409716507808794841381271267;'3*7*307*2143*2857*6529*11119*43691*131071;'2;'2550183799*3976656429941438590393;' 12379533,19304157426900187332;'19304157426912566865;'238976453903505956782675956
'2^67-1;'4k+3;'no;'21;'33;'3{4k+3}*11{4k+3};'367099384551433863;'3*7*23*89*683*20857*599479;'2;'193707721*761838257287;' 1445580,5685360129;'5686805709;'8218642895279820
'2^59-1;'4k+3;'no;'18;'29;'29{4k+1};'1628420204246959;'233*1103*2089*3033169;'2;'179951*3203431780337;' 1525,27147726952;'27147728477;'41400283601800
'2^71-1;'4k+3;'no;'22;'35;'5{4k+1}*7{4k+3};'5542683665339959171;'11*31*43*127*281*86171*122921;'3;'228479*48544121*212885833;' 1609,341860,1499196;'1842665;'824636867597040
'2^283-1;'4k+3;'no;'86;'141;'3{4k+3}*47{4k+3};'9152739185986944974885568465599617934710986285286876425214663885695662121108167247;'3*7*2351*4513*1681003*13264529*4375578271*35273039401*111349165273*165768537521*646675035253258729;'3;'9623*68492481833*23579543011798993222850893929565870383844167873851502677311057483194673;' 17,121011452,41659969985510588732952109416194117285943759494437283882175013221192;'41659969985510588732952109416194117285943759494437283882175134232661;'85702668789791940167139375117580881592716009954930907973809319556265898543328
'2^79-1;'4k+3;'no;'24;'39;'3{4k+3}*13{4k+1};'1275238206344545542939;'3*7*2731*8191*121369*22366891;'3;'2687*202029703*1113491139767;' 17,1278669,7047412277;'7048690963;'153192229349928321
'2^139-1;'4k+3;'no;'42;'69;'3{4k+3}*23{4k+3};'835609457378995171670253232638202994079;'3*7*47*178481*2796203*168749965921*10052678938039;'2;'5625767248687*123876132205208335762278423601;' 20236572837,445597597860461639432656200;'445597597860461659669229037;'9017368245095467328823378547679639400
'2^47-1;'4k+3;'no;'15;'23;'23{4k+3};'499069107643;'178481*2796203;'3;'2351*4513*13264529;' 25,48,141112;'141185;'169334400
'2^271-1;'4k+3;'no;'82;'135;'3^3{4k+3}*5{4k+1};'2333502570804659957957917611786399363183241609793179583299474854102888949594971;'3^3*7*11*19*31*73*151*331*631*811*15121*23311*87211*262657*348031*18837001*49971617830801*385838642647891;'2;'15242475217*248927757868131890277330541567820045256364273970773286542188386932989391;' 28122648,459276306029763635198026829460922592723919324669323406904406617957545;'459276306029763635198026829460922592723919324669323406904406646080193;'12916065889215320235874518819485555830422144348073098570533396965690516979160
'2^211-1;'4k+3;'no;'64;'105;'3{4k+3}*5{4k+1}*7{4k+3};'2599533265910278107669777539585071887808429487572795992651831;'3*7^2*11*31*43*71*127*151*281*331*337*5419*29191*86171*106681*122921*152041*664441*1564921;'3;'15193*60272956433838849161*3593875704495823757388199894268773153439;' 36,142826910980660780,8516293138615696107554976052769604629;'8516293138615696107697802963750265445;'43788810311793944084326375793480626075396608927603022320
'2^223-1;'4k+3;'no;'68;'111;'3{4k+3}*37{4k+1};'10074718485482301866467494427137380670267991189290198983969958987;'3*7*1777*3331*17539*321679*25781083*26295457*319020217*616318177*107775231312019;'6;'18287*196687*1466449*2916841*1469495262398780123809*596242599987116128415063;' 41,441,3288,6540,3294832426903094448,1336866816114610153397;'1340161648541513258155;'1712590293527083199507744175388339721664483943902720
'2^199-1;'4k+3;'no;'60;'99;'3^2{4k+1}*11{4k+3};'672922129086679344866818296625277471742966077798489462019;'3^2*7*19*23*67*73*89*683*5347*20857*153649*599479*33057806959*242099935645987;'2;'164504919713*4884164093883941177660049098586324302977543600799;' 413328944,12271769080110404968995098237654081163260159801;'12271769080110404968995098237654081163673488745;'5072277354893885089247096695745822404500613447818580144
'2^263-1;'4k+3;'no;'80;'131;'131{4k+3};'9392514209364051339808039341642618634485778223828892393568169045001825471427;'1049*4744297*182331128681207781784391813611*10350794431055162386718619237468234569;'4;'23671*13572264529177*120226360536848498024035943*383725126655170964501315730676446647;' 45,25802784276,228567225355225281414517,729515449914773696770562225620621;'729515450143340922125813309819459;'193609888795918000857572029034314059743004384266337104066849262767940
'2^163-1;'4k+3;'no;'50;'81;'3^4{4k+1};'11955023618248694627433004766595362123974908327;'3^4*7*19*73*2593*71119*87211*135433*262657*97685839*272010961;'5;'150287*704161*110211473*27669118297*36230454570129675721;' 461,2160,338072,84874596,111136363712054220;'111136363797269509;'3175395188614175357073405818027366400
'2^43-1;'4k+3;'no;'13;'21;'3{4k+3}*7{4k+3};'34093383807;'3*7^2*127*337*5419;'3;'431*9719*2099863;' 5,113,24417;'24535;'13795605
