"Mersenne"; "p 4k+?"; "is prime?"; "Xp=(p-1)/2"; "Xp factors"; "Xm=M-1/(6p)"; "Xm Factors";
"2^2-1"; "4k+3"; "yes"; "0"; ""; "0"; ""; 
"2^3-1"; "4k+3"; "yes"; "1"; ""; "0"; ""; 
"2^5-1"; "4k+1"; "yes"; "2"; "2"; "1"; ""; 
"2^7-1"; "4k+3"; "yes"; "3"; "3"; "3"; "3"; 
"2^11-1"; "4k+3"; "no"; "5"; "5"; "31"; "31"; 
"2^13-1"; "4k+1"; "yes"; "6"; "2*3"; "105"; "3*5*7"; 
"2^17-1"; "4k+1"; "yes"; "8"; "2^3"; "1285"; "5*257"; 
"2^19-1"; "4k+3"; "yes"; "9"; "3^2"; "4599"; "3^2*7*73"; 
"2^23-1"; "4k+3"; "no"; "11"; "11"; "60787"; "89*683"; 
"2^29-1"; "4k+1"; "no"; "14"; "2*7"; "3085465"; "5*43*113*127"; 
"2^31-1"; "4k+3"; "yes"; "15"; "3*5"; "11545611"; "3*7*11*151*331"; 
"2^37-1"; "4k+1"; "no"; "18"; "2*3^2"; "619094385"; "3^2*5*7*13*19*73*109"; 
"2^41-1"; "4k+1"; "no"; "20"; "2^2*5"; "8939118925"; "5^2*11*17*31*61681"; 
"2^43-1"; "4k+3"; "no"; "21"; "3*7"; "34093383807"; "3*7^2*127*337*5419"; 
"2^47-1"; "4k+3"; "no"; "23"; "23"; "499069107643"; "178481*2796203"; 
"2^53-1"; "4k+1"; "no"; "26"; "2*13"; "28324525958305"; "5*157*1613*2731*8191"; 
"2^59-1"; "4k+3"; "no"; "29"; "29"; "1628420204246959"; "233*1103*2089*3033169"; 
"2^61-1"; "4k+1"; "yes"; "30"; "2*3*5"; "6300117511512825"; "3*5^2*7*11*13*31*41*151*331*1321"; 
"2^67-1"; "4k+3"; "no"; "33"; "3*11"; "367099384551433863"; "3*7*23*89*683*20857*599479"; 
"2^71-1"; "4k+3"; "no"; "35"; "5*7"; "5542683665339959171"; "11*31*43*127*281*86171*122921"; 
"2^73-1"; "4k+1"; "no"; "36"; "2^2*3^2"; "21563317273377375405"; "3^2*5*7*13*17*19*37*109*241*433*38737"; 
"2^79-1"; "4k+3"; "no"; "39"; "3*13"; "1275238206344545542939"; "3*7*2731*8191*121369*22366891"; 
"2^83-1"; "4k+3"; "no"; "41"; "41"; "19420495094210910437047"; "13367*164511353*8831418697"; 
"2^89-1"; "4k+1"; "yes"; "44"; "2^2*11"; "1159119886971329845411165"; "5*17*23*353*397*683*2113*2931542417"; 
"2^97-1"; "4k+1"; "no"; "48"; "2^4*3"; "272261726853142053586061685"; "3*5*7*13*17*193*241*257*673*65537*22253377"; 
"2^101-1"; "4k+1"; "no"; "50"; "2*5^2"; "4183665347287885813520472625"; "5^3*11*31*41*251*601*1801*4051*8101*268501"; 
"2^103-1"; "4k+3"; "no"; "51"; "3*17"; "16409716507808794841381271267"; "3*7*307*2143*2857*6529*11119*43691*131071"; 
"2^107-1"; "4k+3"; "yes"; "53"; "53"; "252740306587559756061647991103"; "6361*69431*20394401*28059810762433"; 
"2^109-1"; "4k+1"; "no"; "54"; "2*3^3"; "992411479077757574260415965065"; "3^3*5*7*13*19*37*73*87211*246241*262657*279073"; 
"2^113-1"; "4k+1"; "no"; "56"; "2^3*7"; "15316509907182382385045711885605"; "5*17*29*43*127*257*5153*15790321*54410972897"; 
"2^127-1"; "4k+3"; "yes"; "63"; "3^2*7"; "223282392992741773926098823774126123"; "3^2*7^2*19*43*73*337*5419*92737*649657*77158673929"; 
"2^131-1"; "4k+3"; "no"; "65"; "5*13"; "3463433760009551790975822976404765511"; "11*31*2731*8191*409891*7623851*145295143558111"; 
"2^137-1"; "4k+1"; "no"; "68"; "2^2*17"; "211952033897226877485702918497646379885"; "5*17^2*953*26317*43691*131071*354689*2879347902817"; 
"2^139-1"; "4k+3"; "no"; "69"; "3*23"; "835609457378995171670253232638202994079"; "3*7*47*178481*2796203*168749965921*10052678938039"; 
"2^149-1"; "4k+1"; "no"; "74"; "2*37"; "798236964600648703052732645105981619900865"; "5*223*593*1777*25781083*184481113*231769777*616318177"; 
