*2^2-1*. 2M-1 *primo*.
*2^3-1*. 2M-1 *primo*.
*2^5-1*. 2M-1 *primo*.
*2^7-1*. 2M-1 *no primo*.
*2^13-1*. 2M-1 *primo*.
*2^17-1*. 2M-1 *no primo*.
*2^19-1*. 2M-1 *probablemente primo*.
*2^31-1*. 2M-1 *no primo*.
*2^61-1*. 2M-1 *no primo*.
*2^89-1*. 2M-1 *no primo*.
*2^107-1*. 2M-1 *no primo*.
*2^127-1*. 2M-1 *no primo*.
*2^521-1*. 2M-1 *no primo*.
*2^607-1*. 2M-1 *no primo*.
*2^1279-1*. 2M-1 *no primo*.
*2^2203-1*. 2M-1 *no primo*.
*2^2281-1*. 2M-1 *no primo*.
*2^3217-1*. 2M-1 *no primo*.
*2^4253-1*. 2M-1 *no primo*.
*2^4423-1*. 2M-1 *no primo*.
*2^9689-1*. 2M-1 *no primo*.
*2^9941-1*. 2M-1 *no primo*.
*2^11213-1*. 2M-1 *no primo*.
*2^19937-1*. 2M-1 *no primo*.
*2^21701-1*. 2M-1 *no primo*.
*2^23209-1*. 2M-1 *no primo*.
*2^44497-1*. 2M-1 *no primo*.
*2^86243-1*. 2M-1 *no primo*.
*2^110503-1*. 2M-1 *no primo*.
*2^132049-1*. 2M-1 *no primo*.
